id	drivetime	latitude	longitude	elevation	soc	vehicle_id	ext_temp
48102	10	6.18586	-75.6485	1797.86	83	GVQ446	15
48244	22	6.24625	-75.5891	1479.58	77	GVQ446	17
49056	49	6.18584	-75.6485	1797.39	63	GVQ446	28
49615	32	6.25576	-75.6193	1557.26	57	GVQ446	30
49638	19	6.25575	-75.6193	1557.25	57	GVQ446	32
50068	2	6.28109	-75.6063	1747.73	53	GVQ446	32
54860	17	6.20058	-75.5782	1500.19	46	GVQ446	26
55101	1701	6.17479	-75.5933	1531.82	44	GVQ446	26
55106	9	6.17479	-75.5933	1531.82	44	GVQ446	27
55283	27	6.17478	-75.5933	1531.86	100	GVQ446	21
55363	548	6.20055	-75.5782	1500.22	100	GVQ446	20
56372	629	6.25136	-75.5783	1465.13	81	GVQ446	27
56538	16	6.27373	-75.5806	1496.01	79	GVQ446	25
56638	6	6.27714	-75.5873	1554.89	77	GVQ446	24
57633	5	6.27701	-75.5875	1552.47	77	GVQ446	18
59367	33	6.20068	-75.5783	1499.74	73	GVQ446	27
59671	63	6.23229	-75.6042	1534.1	78	GVQ446	27
59682	10	6.23211	-75.6047	1537.63	87	GVQ446	27
59916	80	6.24609	-75.6167	1612.98	84	GVQ446	27
59959	43	6.24837	-75.6113	1564.37	84	GVQ446	26
60195	53	6.26869	-75.6028	1564.28	82	GVQ446	19
60609	27	6.23193	-75.6048	1536.71	79	GVQ446	22
61082	32	6.26865	-75.6029	1562.88	77	GVQ446	23
61455	12	6.17721	-75.5904	1527.09	71	GVQ446	24
61530	19	6.17882	-75.5882	1526.36	71	GVQ446	24
61540	31	6.17892	-75.5878	1526.85	70	GVQ446	23
61564	16	6.17894	-75.5878	1526.73	91	GVQ446	23
61660	13	6.20055	-75.5783	1500.21	78	GVQ446	27
65127	19	6.20057	-75.5783	1500.19	76	GVQ446	31
65133	44	6.20186	-75.5778	1499.15	76	GVQ446	30
65141	99	6.20169	-75.5775	1500.07	76	GVQ446	30
65151	162	6.20113	-75.5774	1500.81	75	GVQ446	30
65165	213	6.19522	-75.5794	1515.37	75	GVQ446	28
65179	281	6.2026	-75.5792	1498.09	75	GVQ446	28
65192	348	6.21542	-75.5775	1488.29	74	GVQ446	27
65200	391	6.22346	-75.5763	1481.31	74	GVQ446	27
65213	465	6.23617	-75.576	1473	74	GVQ446	27
65223	517	6.24295	-75.5783	1469.89	74	GVQ446	27
65234	577	6.25269	-75.5776	1464.74	73	GVQ446	26
65250	639	6.26086	-75.5726	1461.43	73	GVQ446	26
65257	692	6.26564	-75.575	1455.6	73	GVQ446	26
65270	763	6.27554	-75.5726	1458.04	72	GVQ446	27
65282	813	6.2844	-75.5708	1478	72	GVQ446	26
65297	891	6.29555	-75.5672	1528.19	71	GVQ446	27
65305	936	6.29972	-75.5652	1524.45	71	GVQ446	26
65313	1004	6.3046	-75.5604	1487.44	71	GVQ446	26
65323	1062	6.31168	-75.5584	1452.58	71	GVQ446	26
65327	1113	6.31787	-75.5571	1440.25	71	GVQ446	26
65336	1201	6.3211	-75.5573	1439.18	71	GVQ446	27
65339	1226	6.32113	-75.5573	1439.2	71	GVQ446	27
